Mixture,IL1R2_absolute,IL1R2_percent,Absolute_score
qns31079_044,416.8511788489467,20.62370286667162,44.9580219998273
qns31079_045,4.047860231244707,0.42482235624080955,30.868041287298
qns31079_046,0,0,26.0076211921559
qns31079_047,0,0,32.8765643891055
qns31079_048,138.14988985593843,12.950949281148516,32.6606234195601
qns31079_053,36.654997083278424,4.021596640091432,30.190293836528
qns31079_054,175.3571484904928,9.411208167605983,43.1657257848747
qns31079_055,13.648809252302597,1.6118077899192433,29.0998504444722
qns31079_056,372.8401551554971,20.262345989422624,42.8959683872599
qns31079_057,233.37447738753542,19.17561778809028,34.886065902147
qns31079_058,1120.1706363555493,37.75771637235028,54.4677245019743
qns31079_059,12.367189906101288,1.2781428214965744,31.1061185084705
qns31079_061,37.84435928670176,4.420532756598416,29.2592555399209
qns31079_062,77.73174690473707,6.67229869124502,34.1319793452207
qns31079_068,101.84752973435964,8.176140560181217,35.2940157702443
qns31079_069,180.0008021975689,14.230804840475628,35.5649734548847
qns31079_070,88.6802378775402,7.635920511099319,34.0786769239317
qns31079_071,946.4290121718525,35.87993839155247,51.3591914611614
qns31079_072,0,0,31.4517925846602
qns31079_075,0,0,27.2219519583671
qns31079_076,80.51973544016631,7.4634664472177645,32.8458781380194
qns31079_077,129.98690184387155,7.810190254445776,40.7961321308005
qns31079_079,28.046630553172346,3.812411770196299,27.1231700019512
qns31079_080,0,0,28.5171334394957
qns31079_081,0,0,29.1625306178798
qns31079_083,0,0,31.5046578260202
qns31079_084,128.63935950951543,7.746175948811737,40.7514677897741
qns31079_085,169.46147011587823,9.055055208338029,43.2603405148838
qns31079_086,99.39619498707185,7.403673095700143,36.6404891134095
qns31079_087,0,0,28.6552446628371
qns31079_088,0,0,20.8332115575208
qns31079_089,389.33537406902803,18.101212013940096,46.3775822858911
qns31079_090,0,0,26.991703596641
qns31079_092,0,0,29.3881395734112
qns31079_093,311.68069796600173,13.616611228287596,47.8432236935012
qns31079_094,171.67720804853568,12.747546050261382,36.6980532203352
qns31079_188,0,0,21.9172855704692
qns31079_190,196.61568648264827,14.964665495615318,36.2472927360137
qns31079_191,1.2393587597645244,0.08783729868103694,37.5628931396118
qns31079_192,23.66971526707547,1.9287035133391202,35.0319071430278
qns31079_194,11.809656918161595,1.1657908188122743,31.8279249412778
qns31079_195,132.02224790949245,9.478656743452023,37.3207328728039
qns31079_196,513.6634569724478,29.28950875702643,41.877745304719
qns31079_197,182.66709393090827,10.875151111134459,40.983827004326
qns31079_198,107.74306934181627,7.652887816273781,37.5216560576116
qns31079_199,3.524359987090316,0.34701989494123325,31.8685969783122
qns31079_201,100.12420277018018,9.010350684267094,33.3348640655561
qns31079_202,584.7147364113493,28.827606755007796,45.0368207536894
qns31079_203,0,0,28.4532420587892
qns31079_204,754.3288665223214,33.08740444960341,47.7473214865496
qns31079_205,34.78994144971736,2.9086411045056755,34.5845222177887
qns31079_206,622.1417217472182,26.86114449859607,48.1262925601058
qns31079_207,0,0,20.0291107231292
qns31079_208,0,0,32.4820313709544
qns31079_209,201.1615956393696,13.409524817426233,38.7316360027963
qns31079_211,159.92261809063902,10.483432441496316,39.0573879125183
qns31079_212,0,0,31.5272496929549
qns31079_213,0,0,33.6748257073685
qns31079_214,312.74578679074807,15.543613109262441,44.8559175632927
qns31079_215,1008.2950835401718,39.3000975768049,50.6520480805992
qns31079_217,449.3584847661712,24.457851674875823,42.863469354557
qns31079_218,901.5431826624239,31.06111161575944,53.8746882034944
qns31079_220,1207.7679369733037,38.732000185037336,55.841462676449
qns31079_221,430.5793969066484,20.771776870023064,45.5291768162099
qns31079_226,38.906814999271006,3.410981080151522,33.7732756555465
qns31079_227,149.10024331964297,12.11981333569622,35.0744775359076
qns31079_228,46.44136574978073,4.3178541830597315,32.7958208664496
qns31079_229,335.4119924915386,20.653862059124855,40.298479228529
qns31079_230,0,0,30.1064689147775
qns31079_231,0,0,30.744862061521
qns31079_232,1077.7971722704042,33.997455012680824,56.3047865010555
qns31079_233,198.9777355119843,15.819744865112256,35.4652074433674
qns31079_234,176.51069737512654,9.628962800678648,42.8149815239301
qns31079_236,1.024176389943323,0.10317784973295108,31.5060634712656
qns31079_237,119.88118645814235,8.67263570773008,37.1791934454964
qns31079_239,202.1784552968723,14.231801596671655,37.6909858188346
qns31079_240,0,0,34.9728565607445
qns31079_241,222.00231080613628,14.021050250305587,39.7913317597838
qns31079_242,48.27048489667545,3.936665240572264,35.0168106658366
qns31079_243,0,0,31.0365644559702
qns31079_244,0,0,33.2806175514184
qns31079_245,168.47029083356853,13.877971692450913,34.8416460199487
qns31079_246,27.410373716987927,3.6036954413670346,27.5793126509708
qns31079_247,0,0,28.5644815815919
qns31079_250,0,0,32.0152056284689
qns31079_251,0,0,26.032812347078
qns31079_252,245.10965616389146,16.835643775389407,38.1562201957718
qns31079_254,259.8539688156031,11.472127153802528,47.592958355636
qns31079_256,594.5604173965969,20.12825308023928,54.3494250638643
qns31079_257,0,0,25.8479865991852
qns31079_258,0,0,31.3624030211758
qns31079_259,10.605660258181588,1.1166956179863792,30.8177870190762
qns31079_260,125.95932293006643,8.890639767508057,37.6399165467407
qns31079_261,607.4790493201964,30.02462540051078,44.9807666725202
qns31079_262,216.5748445384688,14.973563392309297,38.0313220674998
qns31079_263,0,0,29.2858226094664
qns31079_264,746.0562192101946,29.54987601249202,50.2467464770521
qns31079_265,0,0,27.1681630741277
qns31079_266,0,0,33.3335125209064
qns31079_267,0,0,31.499859216391
qns31079_268,0,0,34.2769026938164
qns31079_269,0,0,19.6700563525936
qns31079_273,0,0,28.965324545477
qns31079_274,83.83214146403547,6.990101617848253,34.6308806357816
qns31079_275,58.06419224044915,4.0617420113139815,37.8092468902993
qns31079_276,40.66897070114798,3.103358573864861,36.2005868686823
qns31079_277,0,0,31.0667137215283
qns31079_278,80.63344565950055,9.758779006565433,28.7448381520275
qns31079_279,0,0,32.3313298658435
qns31079_280,1.3784309498011524,0.10962250109844889,35.4603203408321
qns31079_281,0,0,36.2814637419775
qns31079_282,0,0,32.4254828687646
qns31079_283,0,0,28.325241083385
qns31079_284,195.03467905967707,10.731122888376717,42.631767218961
qns31079_285,2.9680018477914545,0.2100800656444416,37.587172862172
qns31079_286,118.38845965964103,11.32660323016526,32.3299357311741
qns31079_287,5.869129390562524,0.5565204167526917,32.474785500133
qns31079_288,181.58525138469219,12.223462316632837,38.5427916007705
qns31079_289,158.20748901841964,10.125806051180282,39.5274425845281
qns31079_291,0,0,27.8140583706775
qns31079_292,0,0,24.1834938026252
qns31079_293,0,0,20.4988323275041
qns31079_294,27.00379259532092,2.775980828715465,31.1891939180206
qns31079_295,0.5568023812956641,0.0446865494449931,35.2989779881196
qns31079_296,69.20012940451548,6.073381950015098,33.7550034017611
qns31079_297,0,0,28.7451585258522
qns31079_298,108.30934251173056,8.577918347735205,35.5338288137745
qns31079_299,45.942679839981494,6.237532235994842,27.1394948893051
qns31079_303,0,0,31.4016303432117
qns31079_304,161.6110109296037,11.869729878742469,36.8990390050372
qns31079_305,29.299700799096335,3.0830602107306033,30.8276620632103
qns31079_306,1072.092064878655,30.945269688360504,58.8598166365856
qns31079_307,149.55599122149624,8.872829546374565,41.0554520653434
qns31079_308,0,0,26.2311671138283
qns31079_309,436.74198968017953,24.64918407996658,42.0931280090849
qns31079_311,120.12898354329275,12.352599222810547,31.1849265610973
qns31079_312,47.55026847032428,4.2370671853728465,33.4999232016756
qns31079_313,46.51253933333715,5.263754090307045,29.726051727645
qns31079_314,98.36606094803672,8.472676974505355,34.0731524001995
qns31079_315,0,0,28.8015414110995
qns31079_317,0,0,20.7246044080481
qns31079_318,9.027543644681671,0.8906899323737243,31.8362221611864
qns31079_319,0,0,24.0457884398322
qns31079_320,65.35831206601058,5.685704419694722,33.9045726428372
qns31079_321,0,0,30.4669589672154
qns31079_322,368.2393194708827,19.60028272035083,43.3444914394659
qns31079_323,97.77939313398592,6.872306307184367,37.7200634495186
qns31079_324,0,0,28.6637255434009
qns31079_326,238.59358815636466,13.404279872687571,42.1898169126642
qns31079_327,13.595691721152766,1.676795964856787,28.4747909370357
qns31079_328,20.964772410499982,4.339288384375579,21.9804115241642
qns31079_329,14.436885075868112,1.7708265518125585,28.5528022200998
qns31079_330,179.46228583425093,14.179099671420792,35.5764221546232
qns31079_331,18.470775026902135,2.4075093005451293,27.6986480858282
qns31079_332,37.36492431195603,2.1109979892204533,42.0715142565941
qns31079_333,472.8869804998841,22.546407547165277,45.7973134305883
